id,key,mode,time_signature,duration_ms,tempo,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,is_happy,is_sad,is_angry,is_relaxed
6QnFHieoch6U9J8zfv6hml,10.0,0.0,4.0,2.9188010023864694,-0.7743575858812372,1.7226361291343262,-0.16201017722434818,-1.1441692539295467,-0.26327481549449355,-0.8000562395701568,-0.38558877889186105,-0.8935341813557869,1.329614020717192,1.0,0.0,0.0,0.0
03VzAAMs5PrLM42XR7ijuc,10.0,1.0,4.0,0.3012465997057782,-0.30199144714424775,0.1656795542462166,1.0618486151421416,1.0654234216739147,-0.5300873999817015,-0.8148615895519201,-0.4613859038892412,1.654818983128511,0.30558234168487364,0.0,0.0,1.0,0.0
4GCOPgFknQSHVXuAAdQYjk,6.0,1.0,4.0,2.3663007939247382,-1.8017633870186462,-2.158307097976476,0.11837852443237114,0.022218924559956523,-0.33808208217315,-0.8145088582535984,2.369267071763188,0.023872957858560324,-1.0991302589207976,0.0,1.0,0.0,0.0
4bGTpp1MIRu0HGDIA22165,0.0,1.0,3.0,-0.9940422427800025,0.36654391295372635,0.8411239507050281,-1.6700467077564318,-0.9440834261165181,0.020992797884400883,2.0308777583132427,-0.4863266513428272,-0.7420891932950056,1.063137375615845,1.0,0.0,0.0,0.0
6CHENx8iqzMwavTIz8s0gm,7.0,1.0,4.0,-0.49063811238718263,1.565275644675454,-1.282519024601915,0.5200163943730768,0.47451574327281987,-0.3493031721749485,-0.6629904757710366,-0.48617595073524933,-0.09262318680357895,-0.25782542224368843,0.0,0.0,1.0,0.0
5Dcpl2k7kJzgZecHHeZiAu,4.0,0.0,4.0,-0.34782019510355483,0.9027878906309975,-0.9333486162630374,0.6261094166215647,0.9258775814818839,0.12198260790058701,-0.8149271413861214,-0.4863266513428272,0.006398536159239571,0.06956017030939483,0.0,0.0,1.0,0.0
7spcc0WMgkXCjdc8t1ugB2,1.0,1.0,4.0,-0.24654139156644556,1.1165845091820668,-0.3609381107894679,-0.4689221344431892,0.6816139248643427,-0.5587635188751865,-0.7375947061240079,-0.4863266513428272,-0.587731801617671,-0.36441608028422706,0.0,1.0,0.0,0.0
1BbocHcTYAu0wCS4NqgRsI,11.0,0.0,4.0,-0.34678486196335506,-0.9067176910980027,0.1485072390820095,1.239933331059247,0.35694194492007014,-0.204675789929546,-0.8152049563024986,2.271778808100963,-0.20329452423261124,0.19518487442860127,0.0,0.0,1.0,0.0
0a4agFmqHXxcZl1nho1BxM,4.0,1.0,4.0,0.19442344206273948,-0.2490061713799042,1.047191732675514,-0.24915801692846323,-1.4274683465807048,-0.5500360044293432,-0.7691220168589455,-0.4523682395004854,-0.6675316607112365,1.5009204354252004,1.0,0.0,0.0,0.0
1djfcvQG5NzzzIzSpGYeVX,4.0,1.0,4.0,0.4905093681385533,-0.43720354839761594,-0.3437657956252605,0.19415925460986283,-0.10143224706748818,-0.5687378210990074,-0.8029280342113589,1.735593357958724,-0.13922164466843456,0.2637074403118048,0.0,0.0,0.0,1.0
1rPaaiIn4iPRzadUBsuLjv,2.0,1.0,4.0,-0.007863236713108986,-0.4977826931268888,0.6808490091724291,-1.4730168092949534,-0.6911711998388341,-0.5612570944311418,2.0901865606858974,-0.4848033972231049,-0.5353085365197083,-0.36822288949996057,0.0,1.0,0.0,0.0
